date,open,high,low,close,volume,symbol
,urth,urth,urth,urth,urth,
2023-08-14,124.43000030517578,125.16999816894531,124.16000366210938,125.16999816894531,83100,URTH
2023-08-15,124.54000091552734,124.62999725341797,123.43000030517578,123.68000030517578,170200,URTH
2023-08-16,123.51000213623047,123.87000274658203,122.63999938964844,122.69999694824219,770300,URTH
2023-08-17,123.06999969482422,123.2300033569336,121.70999908447266,121.8499984741211,247400,URTH
2023-08-18,121.02999877929688,122.0999984741211,120.88999938964844,121.81999969482422,320600,URTH
2023-08-21,122.08000183105469,122.70999908447266,121.58999633789062,122.56999969482422,180000,URTH
2023-08-22,122.97000122070312,122.98999786376953,122.04000091552734,122.20999908447266,820100,URTH
2023-08-23,122.5999984741211,123.73999786376953,122.55000305175781,123.51000213623047,57700,URTH
2023-08-24,123.81999969482422,123.81999969482422,121.87000274658203,121.87000274658203,46600,URTH
2023-08-25,122.43000030517578,123.02999877929688,121.37000274658203,122.69999694824219,140400,URTH
2023-08-28,123.47000122070312,123.77999877929688,123.19000244140625,123.63999938964844,79200,URTH
2023-08-29,123.62000274658203,125.48999786376953,123.4800033569336,125.4000015258789,184600,URTH
2023-08-30,125.58999633789062,126.06999969482422,125.36000061035156,125.88999938964844,558200,URTH
2023-08-31,125.98999786376953,126.25,125.58999633789062,125.69999694824219,513800,URTH
2023-09-01,126.55000305175781,126.61000061035156,125.55000305175781,125.91000366210938,137200,URTH
2023-09-05,125.79000091552734,125.79000091552734,125.16999816894531,125.20999908447266,124200,URTH
2023-09-06,125.0199966430664,125.05999755859375,123.87999725341797,124.44999694824219,198100,URTH
2023-09-07,123.66999816894531,124.2300033569336,123.5,124.08999633789062,84800,URTH
2023-09-08,124.12000274658203,124.55000305175781,123.94999694824219,124.12000274658203,205400,URTH
2023-09-11,124.9000015258789,125.1500015258789,124.6500015258789,125.08999633789062,127700,URTH
2023-09-12,124.7300033569336,124.95999908447266,124.4000015258789,124.4800033569336,110500,URTH
2023-09-13,124.41000366210938,124.77999877929688,124.22000122070312,124.5199966430664,87300,URTH
2023-09-14,125.37000274658203,125.87000274658203,124.9800033569336,125.72000122070312,84600,URTH
2023-09-15,125.54000091552734,125.58000183105469,124.55999755859375,124.62000274658203,106400,URTH
2023-09-18,124.4800033569336,124.79000091552734,124.16000366210938,124.5199966430664,94900,URTH
2023-09-19,124.37999725341797,124.51000213623047,123.69999694824219,124.33999633789062,69500,URTH
2023-09-20,124.83000183105469,124.93000030517578,123.41000366210938,123.43000030517578,242200,URTH
2023-09-21,122.55999755859375,122.55999755859375,121.33999633789062,121.36000061035156,227000,URTH
2023-09-22,121.80000305175781,122.08000183105469,121.08999633789062,121.16999816894531,188600,URTH
2023-09-25,120.70999908447266,121.43000030517578,120.5199966430664,121.38999938964844,155600,URTH
2023-09-26,120.5,120.68000030517578,119.5,119.66999816894531,132400,URTH
2023-09-27,120.12999725341797,120.1500015258789,118.68000030517578,119.58000183105469,283000,URTH
2023-09-28,119.52999877929688,120.8499984741211,119.44000244140625,120.5199966430664,123000,URTH
2023-09-29,121.43000030517578,121.52999877929688,119.9000015258789,120.16999816894531,278200,URTH
2023-10-02,119.77999877929688,120.01000213623047,118.95999908447266,119.51000213623047,204400,URTH
2023-10-03,118.7699966430664,119.11000061035156,117.5199966430664,117.94000244140625,287200,URTH
2023-10-04,118.16999816894531,118.72000122070312,117.5199966430664,118.62999725341797,150800,URTH
2023-10-05,118.6500015258789,119.08000183105469,118.0199966430664,118.87999725341797,234800,URTH
2023-10-06,118.37000274658203,120.6500015258789,117.9000015258789,120.25,88300,URTH
2023-10-09,119.63999938964844,120.98999786376953,119.56999969482422,120.79000091552734,79400,URTH
2023-10-10,121.4000015258789,122.44999694824219,121.25,121.77999877929688,142000,URTH
2023-10-11,122.25,122.38999938964844,121.5,122.31999969482422,153000,URTH
2023-10-12,122.52999877929688,122.52999877929688,120.83000183105469,121.37999725341797,157800,URTH
2023-10-13,121.68000030517578,121.94999694824219,120.27999877929688,120.68000030517578,175400,URTH
2023-10-16,121.20999908447266,121.98999786376953,121.12999725341797,121.8499984741211,97700,URTH
2023-10-17,120.94999694824219,122.33000183105469,120.88999938964844,121.83999633789062,220100,URTH
2023-10-18,121.22000122070312,121.31999969482422,119.81999969482422,120.05999755859375,149900,URTH
2023-10-19,120.1500015258789,120.58000183105469,118.79000091552734,118.9800033569336,322600,URTH
2023-10-20,118.83000183105469,118.95999908447266,117.5999984741211,117.6500015258789,285800,URTH
2023-10-23,117.22000122070312,118.48999786376953,116.66999816894531,117.5,149200,URTH
2023-10-24,117.93000030517578,118.55999755859375,117.58999633789062,118.30000305175781,166000,URTH
2023-10-25,117.86000061035156,117.86000061035156,116.66000366210938,116.7699966430664,162000,URTH
2023-10-26,116.43000030517578,116.63999938964844,115.29000091552734,115.58000183105469,360600,URTH
2023-10-27,116.13999938964844,116.13999938964844,114.69999694824219,115.01000213623047,146000,URTH
2023-10-30,115.9000015258789,116.62000274658203,115.62999725341797,116.43000030517578,198300,URTH
2023-10-31,116.51000213623047,117.16999816894531,116.13999938964844,117.11000061035156,258200,URTH
2023-11-01,117.36000061035156,118.43000030517578,117.25,118.31999969482422,141600,URTH
2023-11-02,119.72000122070312,120.73999786376953,119.69000244140625,120.72000122070312,200700,URTH
2023-11-03,121.5999984741211,122.33999633789062,121.44999694824219,121.93000030517578,237700,URTH
2023-11-06,122.02999877929688,122.25,121.44999694824219,121.88999938964844,233400,URTH
2023-11-07,121.7300033569336,122.19000244140625,121.4000015258789,121.98999786376953,213000,URTH
2023-11-08,122.16999816894531,122.33999633789062,121.41999816894531,122.0199966430664,127000,URTH
2023-11-09,122.62000274658203,122.62000274658203,121.25,121.30999755859375,128400,URTH
2023-11-10,121.80000305175781,122.93000030517578,121.2300033569336,122.83999633789062,187300,URTH
2023-11-13,122.41000366210938,123.08999633789062,122.2300033569336,122.87999725341797,192600,URTH
2023-11-14,124.80999755859375,125.76000213623047,124.62999725341797,125.45999908447266,155600,URTH
2023-11-15,125.8499984741211,126.22000122070312,125.51000213623047,125.66000366210938,89500,URTH
2023-11-16,125.48999786376953,125.80999755859375,125.19000244140625,125.66000366210938,196500,URTH
2023-11-17,126.06999969482422,126.38999938964844,125.87000274658203,126.30000305175781,219500,URTH
